title,company,salary_updated,environment,location_updated
Data Scientist,University of North Carolina at Chapel Hill,Full-time,In-Person,"Chapel Hill, NC"
Data Scientist,Warrant Technologies,,Remote,Remote
"Director, Data Science",RUE GILT GROUPE,200000 - 250000 ,Hybrid,"New York, NY"
Data Engineer Scientist,EX2 Outcoding,Full-time,Remote,Remote
"Global Financial Crimes - Model Governance and Analytics, AVP - Hybrid (TX)",MUFG,85000 - 105000 ,Hybrid,"Irving, TX"
Data Scientist,The Chefs' Warehouse,Full-time,Remote,Remote
Role: Data Scientist (retail domain),PSRTEK,80934 - 175943 ,Remote,Remote
Data Scientist,Synectics for Management Decisions Inc,Full-time,In-Person,"Arlington, VA"
Data Scientist,CPower,Full-time,Remote,Remote
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
Data Scientist,Fulcrum Analytics,100000 - 130000 ,Remote,Remote
Data Scientist,Procter & Gamble,"Contract
+1",In-Person,"Cincinnati, OH"
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Data Scientist,Carbon Direct,135000 - 165000 ,Remote,"San Francisco, CA"
Data Scientist,University of North Carolina at Chapel Hill,Full-time,In-Person,"Chapel Hill, NC"
Data Scientist,Warrant Technologies,,Remote,Remote
"Director, Data Science",RUE GILT GROUPE,200000 - 250000 ,Hybrid,"New York, NY"
Data Engineer Scientist,EX2 Outcoding,Full-time,Remote,Remote
Role: Data Scientist (retail domain),PSRTEK,80934 - 175943 ,Remote,Remote
Data Scientist,The Chefs' Warehouse,Full-time,Remote,Remote
Data Scientist,"Wurl, LLC",,Remote,Remote
"(Hybrid) Assistant Vice President, Machine Learning and Advanced Analytics - San Antonio Texas",PenFed Credit Union,Full-time,In-Person,"San Antonio, TX"
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
Data Scientist,Synectics for Management Decisions Inc,Full-time,In-Person,"Arlington, VA"
Data Scientist,CPower,Full-time,Remote,Remote
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
Data Scientist,Fulcrum Analytics,100000 - 130000 ,Remote,Remote
Data Scientist,Procter & Gamble,"Contract
+1",In-Person,"Cincinnati, OH"
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Data Scientist,Carbon Direct,135000 - 165000 ,Remote,"San Francisco, CA"
Data Scientist,University of North Carolina at Chapel Hill,Full-time,In-Person,"Chapel Hill, NC"
Data Scientist,Warrant Technologies,,Remote,Remote
"Director, Data Science",RUE GILT GROUPE,200000 - 250000 ,Hybrid,"New York, NY"
Data Engineer Scientist,EX2 Outcoding,Full-time,Remote,Remote
Role: Data Scientist (retail domain),PSRTEK,80934 - 175943 ,Remote,Remote
Data Scientist,The Chefs' Warehouse,Full-time,Remote,Remote
"(Hybrid) Assistant Vice President, Machine Learning and Advanced Analytics - San Antonio Texas",PenFed Credit Union,Full-time,In-Person,"San Antonio, TX"
Data Scientist,CPower,Full-time,Remote,Remote
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
Data Scientist,Fulcrum Analytics,100000 - 130000 ,Remote,Remote
Data Scientist,Procter & Gamble,"Contract
+1",In-Person,"Cincinnati, OH"
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Data Scientist,Carbon Direct,135000 - 165000 ,Remote,"San Francisco, CA"
Data Scientist,University of North Carolina at Chapel Hill,Full-time,In-Person,"Chapel Hill, NC"
Data Scientist,Warrant Technologies,,Remote,Remote
"Director, Data Science",RUE GILT GROUPE,200000 - 250000 ,Hybrid,"New York, NY"
Data Engineer Scientist,EX2 Outcoding,Full-time,Remote,Remote
Role: Data Scientist (retail domain),PSRTEK,80934 - 175943 ,Remote,Remote
"Director, Data Product Manager – Clinical Ops & Real-World Evidence",Bristol Myers Squibb,,Hybrid,"Princeton, NJ"
Data Scientist,"Wurl, LLC",,Remote,Remote
Data Scientist,"Zartico, Inc.",110000 ,Remote,Remote
Data Scientist,The Chefs' Warehouse,Full-time,Remote,Remote
Data Scientist,CPower,Full-time,Remote,Remote
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
Data Scientist,Fulcrum Analytics,100000 - 130000 ,Remote,Remote
Data Scientist,Procter & Gamble,"Contract
+1",In-Person,"Cincinnati, OH"
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Data Scientist,Carbon Direct,135000 - 165000 ,Remote,"San Francisco, CA"
Data Scientist,University of North Carolina at Chapel Hill,Full-time,In-Person,"Chapel Hill, NC"
Data Scientist,Warrant Technologies,,Remote,Remote
"Director, Data Science",RUE GILT GROUPE,200000 - 250000 ,Hybrid,"New York, NY"
Data Engineer Scientist,EX2 Outcoding,Full-time,Remote,Remote
Role: Data Scientist (retail domain),PSRTEK,80934 - 175943 ,Remote,Remote
Data Scientist,The Chefs' Warehouse,Full-time,Remote,Remote
Senior Marketing Data Analyst,Backcountry,85000 - 98000 ,In-Person,"Park City, UT"
Data Scientist,"Zartico, Inc.",110000 ,Remote,Remote
Data Scientist,"Wurl, LLC",,Remote,Remote
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
Data Scientist,Synectics for Management Decisions Inc,Full-time,In-Person,"Arlington, VA"
Data Scientist,CPower,Full-time,Remote,Remote
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
Data Scientist,Fulcrum Analytics,100000 - 130000 ,Remote,Remote
Data Scientist,Procter & Gamble,"Contract
+1",In-Person,"Cincinnati, OH"
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Data Scientist,Carbon Direct,135000 - 165000 ,Remote,"San Francisco, CA"
Data Scientist,University of North Carolina at Chapel Hill,Full-time,In-Person,"Chapel Hill, NC"
Data Scientist,Warrant Technologies,,Remote,Remote
"Director, Data Science",RUE GILT GROUPE,200000 - 250000 ,Hybrid,"New York, NY"
Principal Statistical Programmer,Penfield Search Partners,Full-time,Hybrid,"Florham Park, NJ"
Role: Data Scientist (retail domain),PSRTEK,80934 - 175943 ,Remote,Remote
Data Engineer Scientist,EX2 Outcoding,Full-time,Remote,Remote
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,CPower,Full-time,Remote,Remote
Data Scientist,"Zartico, Inc.",110000 ,Remote,Remote
Data Scientist (Remote),Mercy,,Remote,"Chesterfield, MO"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist II - remote,Federal Services,Full-time,Remote,"Detroit, MI"
"Data Scientist, Ford Next",Ford Motor Company,Full-time,Hybrid,"Dearborn, MI"
"Sr. Manager, Statistical Programming",Bristol Myers Squibb,,In-Person,New Jersey
Data Scientist,The Chefs' Warehouse,Full-time,Remote,Remote
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Zen Strategics LLC,Full-time,Remote,Remote
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,CPower,Full-time,Remote,Remote
Data Scientist,"Zartico, Inc.",110000 ,Remote,Remote
Data Scientist (Remote),Mercy,,Remote,"Chesterfield, MO"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist II - remote,Federal Services,Full-time,Remote,"Detroit, MI"
"Data Scientist, Ford Next",Ford Motor Company,Full-time,Hybrid,"Dearborn, MI"
Data Scientist,Zen Strategics LLC,Full-time,Remote,Remote
Data Scientist,The Chefs' Warehouse,Full-time,Remote,Remote
Sr NLP Software Engineer,"QTC Management, Inc.",109000 - 133000 ,In-Person,"San Dimas, CA"
Software Engineer Lead - AI/Analytics - Enterprise Data Management Team,PNC Financial Services Group,,In-Person,"Cleveland, OH"
Data Scientist,Warrant Technologies,,Remote,Remote
Data Scientist,"Wurl, LLC",,Remote,Remote
Data Scientist - Motorsport,General Motors,Full-time,In-Person,"Concord, NC"
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,CPower,Full-time,Remote,Remote
Data Scientist,"Zartico, Inc.",110000 ,Remote,Remote
Data Scientist (Remote),Mercy,,Remote,"Chesterfield, MO"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Manufacturing Life Science - IT Agile Project Manager - Data Science / Data Lake,NTT DATA,,In-Person,"Pittsburgh, PA"
Data Scientist,"Wurl, LLC",,Remote,Remote
Data Scientist - Motorsport,General Motors,Full-time,In-Person,"Concord, NC"
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,CPower,Full-time,Remote,Remote
Data Scientist,"Zartico, Inc.",110000 ,Remote,Remote
Computer Vision AI Software Developer,Robert Half,10703680 - 12394720,In-Person,"Evanston, IL"
Data Scientist (Remote),Mercy,,Remote,"Chesterfield, MO"
Data Scientist II - remote,Federal Services,Full-time,Remote,"Detroit, MI"
"Data Scientist, Ford Next",Ford Motor Company,Full-time,Hybrid,"Dearborn, MI"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Fulcrum Analytics,100000 - 130000 ,Remote,Remote
Senior Data Scientist,Etsy,130000 - 164000 ,Remote,"Brooklyn, NY"
Product Data Scientist,PayPal,72700 - 176000 ,In-Person,"New York, NY"
Role: Data Scientist (retail domain),PSRTEK,80934 - 175943 ,Remote,Remote
"Director, Data Scientist - Biopharma",Pfizer,113900 - 189700 ,Remote,Remote
Data Scientist,"VMR Strategic Solutions, LLC",Full-time,Remote,"Bethesda, MD"
Data Scientist,Procter & Gamble,"Contract
+1",In-Person,"Cincinnati, OH"
Senior Data Scientist,Microsoft,112000 - 218400 ,In-Person,"Redmond, WA"
Data Scientist,CDIT LLC,,In-Person,United States
Statistical Programmer III/ Senior Programmer FSP (US/Canada),PHASTAR,Full-time,Remote,Remote
"Senior Data Scientist, Last Mile",Flexport,Full-time,Hybrid,"Bellevue, WA"
"Director, Data Science",RUE GILT GROUPE,200000 - 250000 ,Hybrid,"New York, NY"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Fulcrum Analytics,100000 - 130000 ,Remote,Remote
Senior Data Scientist,Etsy,130000 - 164000 ,Remote,"Brooklyn, NY"
Product Data Scientist,PayPal,72700 - 176000 ,In-Person,"New York, NY"
Role: Data Scientist (retail domain),PSRTEK,80934 - 175943 ,Remote,Remote
"Director, Data Scientist - Biopharma",Pfizer,113900 - 189700 ,Remote,Remote
Data Scientist,"VMR Strategic Solutions, LLC",Full-time,Remote,"Bethesda, MD"
Data Scientist,Procter & Gamble,"Contract
+1",In-Person,"Cincinnati, OH"
Senior Data Scientist,Microsoft,112000 - 218400 ,In-Person,"Redmond, WA"
Data Scientist,CDIT LLC,,In-Person,United States
Senior Machine Learning Engineer,Capital One,Full-time,In-Person,"McLean, VA"
"Senior Data Scientist, Last Mile",Flexport,Full-time,Hybrid,"Bellevue, WA"
"Director, Data Science",RUE GILT GROUPE,200000 - 250000 ,Hybrid,"New York, NY"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
Data Scientist,The Chefs' Warehouse,Full-time,Remote,Remote
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Fulcrum Analytics,100000 - 130000 ,Remote,Remote
Senior Data Scientist,Etsy,130000 - 164000 ,Remote,"Brooklyn, NY"
Product Data Scientist,PayPal,72700 - 176000 ,In-Person,"New York, NY"
Role: Data Scientist (retail domain),PSRTEK,80934 - 175943 ,Remote,Remote
"Director, Data Scientist - Biopharma",Pfizer,113900 - 189700 ,Remote,Remote
Data Scientist,"VMR Strategic Solutions, LLC",Full-time,Remote,"Bethesda, MD"
Data Scientist,Procter & Gamble,"Contract
+1",In-Person,"Cincinnati, OH"
Senior Data Scientist,Microsoft,112000 - 218400 ,In-Person,"Redmond, WA"
Data Scientist,CDIT LLC,,In-Person,United States
Collections Strategy Analyst,Kelly,87360,In-Person,"Irving, TX"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
"Director, Data Science",RUE GILT GROUPE,200000 - 250000 ,Hybrid,"New York, NY"
"Senior Data Scientist, Last Mile",Flexport,Full-time,Hybrid,"Bellevue, WA"
Product Data Scientist,PayPal,72700 - 176000 ,In-Person,"New York, NY"
Role: Data Scientist (retail domain),PSRTEK,80934 - 175943 ,Remote,Remote
"Director, Data Scientist - Biopharma",Pfizer,113900 - 189700 ,Remote,Remote
Data Scientist,"VMR Strategic Solutions, LLC",Full-time,Remote,"Bethesda, MD"
Data Scientist,Procter & Gamble,"Contract
+1",In-Person,"Cincinnati, OH"
"Principal, AI/ML Engineer",Fidelity Investments,Full-time,In-Person,"Salt Lake City, UT"
Senior Data Scientist,Microsoft,112000 - 218400 ,In-Person,"Redmond, WA"
Data Scientist,CDIT LLC,,In-Person,United States
AI Engineer,AAA Texas,Full-time,Hybrid,"Coppell, TX"
"Senior Data Scientist, Last Mile",Flexport,Full-time,Hybrid,"Bellevue, WA"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
"Director, Data Science",RUE GILT GROUPE,200000 - 250000 ,Hybrid,"New York, NY"
Data Scientist,AppsIntegration.Inc,60876 - 106280 ,Remote,Remote
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
,,,In-Person,Unknown
title,company,salary,In-Person,location
Lead Data Scientist,Disney Media & Entertainment Distribution,149240 - 200200 ,In-Person,"Santa Monica, CA"
Senior Predictive Modeler,Sitewise Analytics,90000,In-Person,"Dallas, TX"
Data Engineer,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Arlington, VA"
Risk Intelligence - Data Analytics Lead,Citizens,Full-time,In-Person,"Boston, MA"
Data Scientist,Brightside Health,Full-time,Remote,Remote
Senior Data Scientist,EarthOptics,99400 - 167000 ,Remote,"Arlington, VA"
Data Scientist,Hire IT people,120640,In-Person,"Bentonville, AR"
Data Scientist (Marketing),Penn Foster Group,Full-time,Remote,Remote
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ"
Data Scientist,VivusTech,,In-Person,"Chantilly, VA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Parafin,150000 - 175000 ,In-Person,"San Francisco, CA"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Information Systems - Sr Data Analyst,Hajoca Corporation,90000 - 100000 ,In-Person,"Lafayette Hill, PA"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Vibronyx,,Remote,Remote
Data Scientist,Trella Health,,Remote,Remote
Data Science & Technology Integration - Engineer,Allstate,113400 - 156150 ,In-Person,"Chicago, IL"
Data Scientist,"Ascend Analytics, LLC",80000 - 130000 ,Remote,"Boulder, CO"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Senior Data Scientist,Brightside Health,Full-time,Remote,Remote
Risk Intelligence - Data Analytics Lead,Citizens,Full-time,In-Person,"Boston, MA"
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Sports Data Scientist,Swish Analytics,90000 - 190000 ,Remote,Remote
Data Scientist,Vibronyx,,Remote,Remote
Data Scientist,Trella Health,,Remote,Remote
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,"Ascend Analytics, LLC",80000 - 130000 ,Remote,"Boulder, CO"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Senior Data Scientist,Brightside Health,Full-time,Remote,Remote
Sports Data Scientist,Swish Analytics,90000 - 190000 ,Remote,Remote
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
Data Science Manager Senior,FIS,Full-time,In-Person,"Jacksonville, FL"
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Data Scientist,Vibronyx,,Remote,Remote
Data Scientist,Trella Health,,Remote,Remote
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,"Ascend Analytics, LLC",80000 - 130000 ,Remote,"Boulder, CO"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Senior Data Scientist,Brightside Health,Full-time,Remote,Remote
Sports Data Scientist,Swish Analytics,90000 - 190000 ,Remote,Remote
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
"Principal Software Engineer, Machine Learning Engineering",Experis,Full-time,In-Person,"Richmond, VA"
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Vibronyx,,Remote,Remote
Data Scientist,Trella Health,,Remote,Remote
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,"Ascend Analytics, LLC",80000 - 130000 ,Remote,"Boulder, CO"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Koddi,Full-time,Remote,Remote
"Sr Consultant, Data Science",UScellular,111000 - 175168 ,In-Person,"Chicago, IL"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Vibronyx,,Remote,Remote
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,"Ascend Analytics, LLC",80000 - 130000 ,Remote,"Boulder, CO"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Senior Data Scientist,Brightside Health,Full-time,Remote,Remote
Sports Data Scientist,Swish Analytics,90000 - 190000 ,Remote,Remote
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
Data Engineer,"Modern Technology Solutions, Inc.",Full-time,In-Person,"Beavercreek, OH"
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Vibronyx,,Remote,Remote
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,"Ascend Analytics, LLC",80000 - 130000 ,Remote,"Boulder, CO"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Senior Data Scientist,Brightside Health,Full-time,Remote,Remote
Senior Vice President / Senior Data Architect/Manager - Rutherford NJ - Hybrid,Citi,170880 - 256320 ,In-Person,"Rutherford, NJ"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Vibronyx,,Remote,Remote
Data Scientist,Trella Health,,Remote,Remote
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,"Ascend Analytics, LLC",80000 - 130000 ,Remote,"Boulder, CO"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Senior Data Scientist,Brightside Health,Full-time,Remote,Remote
Associate Statistical Project Leader - Oncology,Sanofi,,In-Person,"Cambridge, MA"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Vibronyx,,Remote,Remote
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,"Ascend Analytics, LLC",80000 - 130000 ,Remote,"Boulder, CO"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Senior Data Scientist,Brightside Health,Full-time,Remote,Remote
Senior Systems & Data Analyst,Freedman Healthcare,95000 - 110000 ,Remote,Remote
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Sports Data Scientist,Swish Analytics,90000 - 190000 ,Remote,Remote
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Vibronyx,,Remote,Remote
Data Scientist,Trella Health,,Remote,Remote
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,"Ascend Analytics, LLC",80000 - 130000 ,Remote,"Boulder, CO"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Senior Data Scientist,Brightside Health,Full-time,Remote,Remote
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
Sports Data Scientist,Swish Analytics,90000 - 190000 ,Remote,Remote
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,"Ascend Analytics, LLC",80000 - 130000 ,Remote,"Boulder, CO"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Senior Data Scientist,Brightside Health,Full-time,Remote,Remote
Sports Data Scientist,Swish Analytics,90000 - 190000 ,Remote,Remote
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
Associate Data Scientist (Dec 2022 - May 2023 Graduates),T. Rowe Price,88000 - 150000 ,In-Person,"New York, NY"
Remote- Statistical Project Leader,Sanofi,180687 ,Remote,"Bridgewater, NJ"
Data Scientist,VitalCORE,,Remote,Remote
Data Scientist,VitalCORE,,Remote,Remote
Associate Data Scientist (Dec 2022 - May 2023 Graduates),T. Rowe Price,88000 - 150000 ,In-Person,"New York, NY"
Remote - Data Scientist,Green Dot Corporation,Full-time,Remote,Remote
Data Scientist,Patra Corporation,Full-time,Remote,Remote
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote
Data Scientist,Assetario,,Remote,Remote
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA"
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States
Healthcare Data Scientist,Inovalon,,Remote,Remote
"Data Scientist, Analytics",Overstock.com Inc.,88000 - 110000 ,Remote,Remote
Analyst/Statistician (Salesforce) - Navy experience,The LDM Group,42000,Remote,"Phoenix, AZ"
Data Scientist,HNM Global Solutions,160000,In-Person,"Alexandria, VA"
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY"
Data Scientist,VitalCORE,,Remote,Remote
Associate Data Scientist (Dec 2022 - May 2023 Graduates),T. Rowe Price,88000 - 150000 ,In-Person,"New York, NY"
Remote - Data Scientist,Green Dot Corporation,Full-time,Remote,Remote
Data Scientist,Patra Corporation,Full-time,Remote,Remote
